company_id,cfo_value,cff_value,latest_net_profit,distress_flag
AXISBANK,-5555.0,22341.0,24861.0,True
BAJAJFINSV,-68674.0,82709.0,15595.0,True
BAJFINANCE,-72760.0,82415.0,14451.0,True
BANKBARODA,-6274.0,5476.0,18869.0,True
BHEL,-3713.0,2656.0,282.0,True
CHOLAFIN,-35683.0,38471.0,3420.0,True
GRASIM,-10719.0,33908.0,9926.0,True
M&M,-5630.0,12281.0,12270.0,True
PFC,-97820.0,101261.0,26461.0,True
PNB,-27939.0,3518.0,9157.0,True
RECLTD,-57723.0,59588.0,14145.0,True
SHRIRAMFIN,-31101.0,27609.0,7399.0,True
TVSMOTOR,-1253.0,2759.0,1779.0,True
