company_id,first_year,last_year,records
JIOFIN,Mar 2023,TTM,3
LICI,Mar 2019,TTM,7
ATGL,Mar 2018,TTM,8
ZOMATO,Mar 2018,TTM,8
ADANIGREEN,Mar 2017,TTM,9
BAJFINANCE,Mar 2015,TTM,11
IRCTC,Mar 2015,TTM,11
ADANIENSOL,Mar 2014,TTM,12
HEROMOTOCO,Mar 2014,TTM,12
SIEMENS,Sep 2011,Sep 2024,12
ABB,Dec 2012,TTM,13
ADANIENT,Mar 2013,TTM,13
ADANIPOWER,Mar 2013,TTM,13
AMBUJACEM,Dec 2012,TTM,13
APOLLOHOSP,Mar 2013,TTM,13
ASIANPAINT,Mar 2013,TTM,13
AXISBANK,Mar 2013,TTM,13
BAJAJ-AUTO,Mar 2013,TTM,13
BAJAJFINSV,Mar 2013,TTM,13
BAJAJHLDNG,Mar 2013,TTM,13
BANKBARODA,Mar 2013,TTM,13
BEL,Mar 2013,TTM,13
BHARTIARTL,Mar 2013,TTM,13
BHEL,Mar 2013,TTM,13
BOSCHLTD,Dec 2012,TTM,13
BPCL,Mar 2013,TTM,13
BRITANNIA,Mar 2013,TTM,13
CANBK,Mar 2013,TTM,13
CHOLAFIN,Mar 2013,TTM,13
CIPLA,Mar 2013,TTM,13
COALINDIA,Mar 2013,TTM,13
DABUR,Mar 2013,TTM,13
DIVISLAB,Mar 2013,TTM,13
DLF,Mar 2013,TTM,13
DMART,Mar 2013,TTM,13
DRREDDY,Mar 2013,TTM,13
EICHERMOT,Dec 2012,TTM,13
GAIL,Mar 2013,TTM,13
GODREJCP,Mar 2013,TTM,13
GRASIM,Mar 2013,TTM,13
HAL,Mar 2013,TTM,13
HAVELLS,Mar 2013,TTM,13
HCLTECH,Jun 2013,TTM,13
HDFCBANK,Mar 2013,TTM,13
HDFCLIFE,Mar 2013,TTM,13
HINDALCO,Mar 2013,TTM,13
HINDUNILVR,Mar 2013,TTM,13
ICICIBANK,Mar 2013,TTM,13
ICICIGI,Mar 2013,TTM,13
ICICIPRULI,Mar 2013,TTM,13
INDIGO,Mar 2013,TTM,13
INDUSINDBK,Mar 2013,TTM,13
INFY,Mar 2013,TTM,13
IOC,Mar 2013,TTM,13
IRFC,Mar 2013,TTM,13
ITC,Mar 2013,TTM,13
JINDALSTEL,Mar 2013,TTM,13
JSWENERGY,Mar 2013,TTM,13
JSWSTEEL,Mar 2013,TTM,13
KOTAKBANK,Mar 2013,TTM,13
LODHA,Mar 2011,TTM,13
LT,Mar 2013,TTM,13
LTIM,Mar 2013,TTM,13
M&M,Mar 2013,TTM,13
MARUTI,Mar 2013,TTM,13
MOTHERSON,Mar 2013,TTM,13
NAUKRI,Mar 2013,TTM,13
NESTLEIND,Dec 2013,TTM,13
NHPC,Mar 2013,TTM,13
NTPC,Mar 2013,TTM,13
ONGC,Mar 2013,TTM,13
PFC,Mar 2013,TTM,13
PIDILITIND,Mar 2013,TTM,13
PNB,Mar 2013,TTM,13
POWERGRID,Mar 2013,TTM,13
RECLTD,Mar 2013,TTM,13
RELIANCE,Mar 2013,TTM,13
SBILIFE,Mar 2013,TTM,13
SBIN,Mar 2013,TTM,13
SHREECEM,Jun 2013,TTM,13
SHRIRAMFIN,Mar 2013,TTM,13
SUNPHARMA,Mar 2013,TTM,13
TATACONSUM,Mar 2013,TTM,13
TATAMOTORS,Mar 2013,TTM,13
TATAPOWER,Mar 2013,TTM,13
TATASTEEL,Mar 2013,TTM,13
TCS,Mar 2013,TTM,13
TECHM,Mar 2013,TTM,13
TITAN,Mar 2013,TTM,13
TORNTPHARM,Mar 2013,TTM,13
TRENT,Mar 2013,TTM,13
TVSMOTOR,Mar 2013,TTM,13
ULTRACEMCO,Mar 2013,TTM,13
UNIONBANK,Mar 2013,TTM,13
UNITDSPR,Mar 2013,TTM,13
VBL,Dec 2012,TTM,13
VEDL,Mar 2013,TTM,13
WIPRO,Mar 2013,TTM,13
ZYDUSLIFE,Mar 2013,TTM,13
ADANIPORTS,Mar 2013,TTM,26
